Waktu,RTX 4090: (Indonesia),RX 7900 XT: (Indonesia),Intel Arc A770: (Indonesia),GTX 1660: (Indonesia),RX 6600: (Indonesia)
2024-10-29T10:28:00+07:00,0,0,0,0,0
2024-10-29T10:36:00+07:00,0,0,0,0,0
2024-10-29T10:44:00+07:00,0,0,0,0,0
2024-10-29T10:52:00+07:00,0,0,0,0,0
2024-10-29T11:00:00+07:00,0,0,0,0,0
2024-10-29T11:08:00+07:00,0,0,0,0,0
2024-10-29T11:16:00+07:00,0,0,0,0,0
2024-10-29T11:24:00+07:00,0,0,0,0,0
2024-10-29T11:32:00+07:00,0,0,0,0,0
2024-10-29T11:40:00+07:00,0,0,0,0,0
2024-10-29T11:48:00+07:00,0,0,0,0,0
2024-10-29T11:56:00+07:00,0,0,0,0,0
2024-10-29T12:04:00+07:00,0,0,0,0,0
2024-10-29T12:12:00+07:00,17,0,0,0,0
2024-10-29T12:20:00+07:00,0,0,0,0,0
2024-10-29T12:28:00+07:00,0,0,15,0,0
2024-10-29T12:36:00+07:00,0,0,0,0,0
2024-10-29T12:44:00+07:00,0,0,0,0,0
2024-10-29T12:52:00+07:00,0,0,0,0,0
2024-10-29T13:00:00+07:00,0,0,0,0,0
2024-10-29T13:08:00+07:00,0,0,0,0,0
2024-10-29T13:16:00+07:00,0,0,0,0,0
2024-10-29T13:24:00+07:00,0,0,0,0,0
2024-10-29T13:32:00+07:00,0,0,0,0,0
2024-10-29T13:40:00+07:00,0,0,0,0,0
2024-10-29T13:48:00+07:00,0,0,0,0,0
2024-10-29T13:56:00+07:00,0,0,0,0,0
2024-10-29T14:04:00+07:00,0,0,0,0,0
2024-10-29T14:12:00+07:00,0,0,0,0,0
2024-10-29T14:20:00+07:00,16,0,0,0,0
2024-10-29T14:28:00+07:00,0,0,0,0,0
2024-10-29T14:36:00+07:00,0,0,0,0,0
2024-10-29T14:44:00+07:00,0,0,15,0,0
2024-10-29T14:52:00+07:00,0,0,0,0,0
2024-10-29T15:00:00+07:00,0,0,0,0,0
