"Minggu;RTX 2080: (Seluruh dunia);RX 580: (Seluruh dunia);RTX 2080 TI: (Seluruh dunia);GTX 1660: (Seluruh dunia);GTX 1080 TI: (Seluruh dunia)"
"2019-10-27;39;30;20;49;15"
"2019-11-03;44;39;24;44;17"
"2019-11-10;44;37;22;48;15"
"2019-11-17;42;39;22;49;16"
"2019-11-24;55;46;26;78;18"
"2019-12-01;43;41;23;51;15"
"2019-12-08;41;39;21;45;15"
"2019-12-15;40;39;20;50;15"
"2019-12-22;46;45;21;55;17"
"2019-12-29;43;40;22;45;16"
"2020-01-05;38;43;22;49;15"
"2020-01-12;39;38;20;48;15"
"2020-01-19;45;38;21;42;15"
"2020-01-26;34;39;19;40;14"
"2020-02-02;36;36;16;39;13"
"2020-02-09;36;35;18;38;13"
"2020-02-16;40;36;21;46;14"
"2020-02-23;39;33;21;42;14"
"2020-03-01;37;36;19;43;14"
"2020-03-08;33;35;17;40;14"
"2020-03-15;37;37;20;47;15"
"2020-03-22;40;42;22;53;16"
"2020-03-29;45;46;23;57;17"
"2020-04-05;46;48;24;64;18"
"2020-04-12;58;53;28;65;20"
"2020-04-19;62;55;29;71;21"
"2020-04-26;62;57;29;72;19"
"2020-05-03;60;56;28;74;19"
"2020-05-10;59;55;28;76;19"
"2020-05-17;60;59;28;75;19"
"2020-05-24;56;55;27;76;18"
"2020-05-31;51;53;26;70;17"
"2020-06-07;54;52;26;70;18"
"2020-06-14;50;45;25;68;16"
"2020-06-21;48;47;26;69;16"
"2020-06-28;52;49;26;67;16"
"2020-07-05;47;45;24;68;16"
"2020-07-12;52;43;23;68;16"
"2020-07-19;51;43;26;66;16"
"2020-07-26;50;41;26;66;15"
"2020-08-02;47;43;24;66;14"
"2020-08-09;50;42;25;68;15"
"2020-08-16;55;41;25;67;15"
"2020-08-23;59;42;25;68;16"
"2020-08-30;100;42;53;70;22"
"2020-09-06;68;39;34;65;17"
"2020-09-13;63;38;29;64;18"
"2020-09-20;46;39;22;61;15"
"2020-09-27;38;36;18;58;13"
"2020-10-04;34;35;16;55;12"
"2020-10-11;36;33;14;56;13"
"2020-10-18;32;33;15;53;12"
"2020-10-25;40;36;18;55;13"
"2020-11-01;30;29;14;54;12"
"2020-11-08;37;36;14;74;14"
"2020-11-15;38;38;15;72;15"
