name,brand,model,memory,memory_interface,length,interface,chipset,base_clock,clock_speed,frame_sync,price,item_url,used
MSI Gaming GeForce RTX 3090 24GB GDRR6X 384-Bit HDMI/DP Nvlink Tri-Frozr 2 Ampere Architecture OC Graphics Card (RTX 3090 GAMING X TRIO 24G),MSI, RTX 3090 GAMING X TRIO 24G , 24 GB , GDRR6X , 335 mm , PCIe x16 , GeForce RTX 3090 , 1395 MHz , 1785 MHz , G-Sync ,"$1,289.99 ",https://pcbuilder.net/component-details/graphics-card/msi-rtx-3090-gaming-x-trio-24g-3090gamingxtrio24g/,0
"EVGA GeForce RTX 3090 FTW3 Ultra Gaming, 24GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate",EVGA, RTX 3090 FTW3 Ultra , 24 GB , GDDR6X , 300 mm , PCIe x16 , GeForce RTX 3090 , 1395 MHz , 1800 MHz , G-Sync ,"$1,199.99 ",https://pcbuilder.net/component-details/graphics-card/evga-geforce-rtx-3090-24g-p5-3987-kr/,0
"ASUS ROG Strix NVIDIA GeForce RTX 3090 White OC Edition Gaming Graphics Card (PCIe 4.0, 24GB GDDR6X, HDMI 2.1, DisplayPort 1.4a",ASUS, ROG Strix RTX 3090 OC Edition , 24 GB , GDDR6X , 318.5 mm , PCIe x16 , GeForce RTX 3090 , 1395 MHz , 1890 MHz , G-Sync ,"$1,794.99 ",https://pcbuilder.net/component-details/graphics-card/asus-rog-strix-rtx-3090-oc-edition-rog-strix-rtx3090-o24g-white/,0
MSI Gaming GeForce RTX 3090 24GB GDRR6X 384-Bit HDMI/DP 1875 MHz Ampere Architecture OC Graphics Card (RTX 3090 Suprim X 24G),MSI, RTX 3090 SUPRIM X 24G , 24 GB , GDDR6X , 336 mm , PCIe x16 , GeForce RTX 3090 , 1395 MHz , 1875 MHz , G-Sync ,"$2,017.21 ",https://pcbuilder.net/component-details/graphics-card/msi-rtx-3090-suprim-x-24g-3090-suprim-x-24g/,0
"GIGABYTE AORUS GeForce RTX 3090 Xtreme 24G Graphics Card, Max Covered Cooling, 24GB 384-bit GDDR6X Video Card",Gigabyte, AORUS RTX 3090 Xtreme 24G , 24 GB , GDDR6X , 319 mm , PCIe x16 , GeForce RTX 3090 , 1395 MHz , 1860 MHz , G-Sync ,"$3,399.99 ",https://pcbuilder.net/component-details/graphics-card/gigabyte-aorus-rtx-3090-xtreme-24g-gv-n3090aorus-x-24gd/,0
"ASUS TUF Gaming NVIDIA GeForce RTX 3090 OC Edition Graphics Card- PCIe 4.0, 24GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings",ASUS, TUF Gaming RTX 3090 OC Edition , 24 GB , GDDR6X , 299.9 mm , PCIe x16 , GeForce RTX 3090 , 1395 MHz , 1770 MHz , G-Sync ,"$1,249 ",https://pcbuilder.net/component-details/graphics-card/asus-tuf-gaming-rtx-3090-oc-edition-tuf-rtx3090-o24g-gaming/,0
"GIGABYTE AORUS GeForce RTX 3090 Xtreme WATERFORCE 24G Graphics Card, WATERFORCE All-in-One Cooling System, 24GB 384-bit GDDR6X",Gigabyte, AORUS RTX 3090 Xtreme Waterforce 24G , 24 GB , GDDR6X , 252 mm , PCIe x16 , GeForce RTX 3090 , 1395 MHz , 1785 MHz , G-Sync ,"$6,800 ",https://pcbuilder.net/component-details/graphics-card/gigabyte-aorus-rtx-3090-xtreme-waterforce-24g-gv-n3090aorusx-w-24gd/,0
"EVGA 24G-P5-3975-KR GeForce RTX 3090 XC3 Ultra Gaming, 24GB GDDR6X, iCX3 Cooling, ARGB LED, Metal Backplate",EVGA, RTX 3090 XC3 Ultra , 24 GB , GDDR6X , 285 mm , PCIe x16 , GeForce RTX 3090 , 1395 MHz , 1725 MHz , G-Sync ,"$1,299 ",https://pcbuilder.net/component-details/graphics-card/evga-rtx-3090-xc3-ultra-24g-p5-3975-kr/,0
"Gigabyte GeForce RTX 3090 GAMING OC 24G Graphics Card, 3x WINDFORCE Fans, 24GB 384-Bit GDDR6X, GV-N3090GAMING OC-24GD Video Card",Gigabyte, RTX 3090 Gaming OC 24G , 24 GB , GDDR6X , 320 mm , PCIe x16 , GeForce RTX 3090 , 1395 MHz , 1755 MHz , G-Sync ,"$1,299 ",https://pcbuilder.net/component-details/graphics-card/gigabyte-rtx-3090-gaming-oc-24g-gv-n3090gaming-oc-24gd/,0
MSI Gaming GeForce RTX 3090 24GB GDRR6X 384-Bit HDMI/DP Nvlink Torx Fan 3 Ampere Architecture OC Graphics Card (RTX 3090 VENTUS 3X 24G OC),MSI, RTX 3090 VENTUS 3X 24G OC , 24 GB , GDDR6X , 305 mm , PCIe x16 , GeForce RTX 3090 , 1395 MHz , 1725 MHz , G-Sync ,"$1,269.90 ",https://pcbuilder.net/component-details/graphics-card/msi-rtx-3090-ventus-3x-24g-oc-3090-ven-3x-24g-oc/,0
